"Rilevazione";"GiornoOra";"Nomecomune";"Sezione";"Elettorimaschi";"Votantimaschi";"Votantimaschi1";"Elettorifemmine";"Votantifemmine";"Votantifemmine1";"Elettori";"Votanti";"Votanti1";"ZeroVotanti"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"1";"434";"232";"53,46";"371";"217";"58,49";"805";"449";"55,78";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"2";"450";"270";"60,0";"448";"279";"62,28";"898";"549";"61,14";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"3";"429";"287";"66,9";"465";"299";"64,3";"894";"586";"65,55";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"4";"332";"241";"72,59";"449";"313";"69,71";"781";"554";"70,93";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"5";"399";"305";"76,44";"509";"357";"70,14";"908";"662";"72,91";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"6";"393";"285";"72,52";"497";"335";"67,4";"890";"620";"69,66";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"7";"294";"215";"73,13";"438";"263";"60,05";"732";"478";"65,3";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"8";"373";"285";"76,41";"468";"350";"74,79";"841";"635";"75,51";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"9";"326";"214";"65,64";"403";"259";"64,27";"729";"473";"64,88";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"10";"362";"260";"71,82";"512";"360";"70,31";"874";"620";"70,94";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"11";"441";"341";"77,32";"518";"359";"69,31";"959";"700";"72,99";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"12";"337";"218";"64,69";"486";"305";"62,76";"823";"523";"63,55";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"13";"457";"313";"68,49";"551";"360";"65,34";"1008";"673";"66,77";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"14";"336";"227";"67,56";"413";"271";"65,62";"749";"498";"66,49";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"15";"0";"40";"0,0";"0";"25";"0,0";"0";"65";"0,0";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"16";"345";"246";"71,3";"333";"219";"65,77";"678";"465";"68,58";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"17";"425";"331";"77,88";"474";"357";"75,32";"899";"688";"76,53";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"18";"321";"238";"74,14";"448";"310";"69,2";"769";"548";"71,26";"N"
